node_name,ogt_full_signal,ogt_presence_only_signal
Plan2(743),55.915253,58.395153
Plan21(744),54.13709,57.239964
Plan22(745),59.89402,59.160053
Plan23(746),46.88994,49.443096
Plan26(747),57.468246,58.158035
Plan27(748),49.47942,49.949135
Plan3(749),36.65105,34.575333
Plan30(750),39.387875,44.72976
Plan31(751),32.292374,32.16999
Plan32(752),49.7504,58.331963
Plan33(753),39.05477,46.807384
Plan39(754),47.421463,42.735497
Plan4(755),57.721405,56.447388
Plan40(756),61.339306,56.364796
Plan42(757),31.898483,36.869217
Plan43(758),33.566437,28.86418
Plan44(759),50.37037,49.858727
Plan5(760),50.977192,57.120125
Plan7(761),55.274952,55.302273
Pori1(762),60.29348,51.797897
Pori2(763),41.141823,36.341995
ProtA10(764),35.440987,38.732716
ProtA11(765),29.259398,33.105217
ProtA12(766),34.20371,29.260103
ProtA13(767),25.370453,30.483776
ProtA14(768),29.201668,31.559042
ProtA15(769),41.18333,45.245377
ProtA16(770),29.534897,34.27819
ProtA18(771),35.821995,32.01605
ProtA19(772),30.709236,30.271034
ProtA2(773),29.377832,26.15021
ProtA20(774),29.875525,34.73238
ProtA21(775),47.79028,43.663685
ProtA24(776),30.308008,31.336277
ProtA26(777),47.169296,52.180496
ProtA27(778),35.76044,32.838745
ProtA29(779),33.169197,31.943436
ProtA3(780),24.755465,30.228695
ProtA30(781),33.044155,33.308403
ProtA31(782),27.171513,28.044636
ProtA32(783),30.597929,39.57926
ProtA33(784),48.511845,37.148193
ProtA34(785),28.621656,32.514416
ProtA35(786),32.930763,30.17083
ProtA36(787),37.01219,34.47924
ProtA37(788),32.02264,32.607464
ProtA38(789),23.37526,27.548948
ProtA39(790),31.870417,26.776209
